,x
Camelus dromedarius,#4B6830
Capreolus capreolus,#538325
Cephalophus silvicultor,#61A91D
Giraffa camelopardalis,#73DE0C
Hippopotamus amphibius,#19CF7C
Muntiacus muntjak,#1D6544
Okapia johnstoni,#25503C
Ovibos moschatus,#1D3C00
Ovis ammon,#408400
Ovis aries,#52A700
Rupicapra rupicapra,#00AE5F
Sus scrofa,#004827
Ceratotherium simum,#5439CD
Diceros bicornis,#2E264E
Equus quagga,#336DC8
Equus caballus,#1F437D
Tapirus indicus,#24334B
Gorilla beringei,#714130
Papio anubis,#8E4125
Piliocolobus foai,#B81F2A
Pongo pygmaeus,#F57E18
Meles meles,#60026D
Otaria byronia,#7808D3
Marmota marmota,#E0BF0E
Cuniculus paca,#AC9724
Dugong dugon,#07406B
Loxodonta africana,#6D7380
Macropus giganteus,#A76001
Extraction blank,white
Library blank,white
