odds_ratio,p.value,Order1,Order2,label
0.445521614326571,0.89819341962679,Carnivora,Artiodactyla,NA
0.457860161158494,0.146510222248795,Diprotodontia,Artiodactyla,NA
1.10222261045271,0.998724449013229,Perissodactyla,Artiodactyla,NA
1.63652079241876,0.0504449993002689,Primates,Artiodactyla,.
0.313215340511199,0.000491198975710261,Proboscidea,Artiodactyla,***
0.683476917343484,0.627807322817437,Rodentia,Artiodactyla,NA
0.697450255344969,0.99946897914509,Sirenia,Artiodactyla,NA
1.02769460882515,0.999999999991487,Diprotodontia,Carnivora,NA
2.47400479574661,0.852217692998551,Perissodactyla,Carnivora,NA
3.67326912947299,0.472035707283494,Primates,Carnivora,NA
0.703030628457027,0.999530295513377,Proboscidea,Carnivora,NA
1.53410495779558,0.998034245327464,Rodentia,Carnivora,NA
1.5654689535079,0.9997024903477,Sirenia,Carnivora,NA
2.40733460553507,0.109961468428449,Perissodactyla,Diprotodontia,NA
3.57428082032291,0.00404807075350244,Primates,Diprotodontia,**
0.684085157613822,0.972907662277183,Proboscidea,Diprotodontia,NA
1.49276345776432,0.947008325301131,Rodentia,Diprotodontia,NA
1.52328224753221,0.999153800216415,Sirenia,Diprotodontia,NA
1.48474616370518,0.612159185181122,Primates,Perissodactyla,NA
0.284167043518146,0.000548525365956287,Proboscidea,Perissodactyla,***
0.620089726759248,0.554559943523728,Rodentia,Perissodactyla,NA
0.632767145883998,0.997879139512889,Sirenia,Perissodactyla,NA
0.191390993601902,2.73589778132521e-06,Proboscidea,Primates,***
0.417640228287788,0.0113933937415422,Rodentia,Primates,*
0.426178670369439,0.91533528503973,Sirenia,Primates,NA
2.18213104194699,0.254942811108075,Rodentia,Proboscidea,NA
2.22674360140426,0.955113714445189,Sirenia,Proboscidea,NA
1.02044449146256,0.999999999999092,Sirenia,Rodentia,NA
