DNA_input_ng,species,Pigmented_extract,order,diet_category,PC1,PC2,pred.success,total,success,real.success
0,hypothetical species 1,TRUE,Artiodactyla,Herbivore,0,-10,0.623058399617144,9,4,44.4
50,hypothetical species 1,TRUE,Artiodactyla,Herbivore,0,-10,0.614546887645209,12,8,66.7
100,hypothetical species 1,TRUE,Artiodactyla,Herbivore,0,-10,0.613806355211763,6,1,16.7
150,hypothetical species 1,TRUE,Artiodactyla,Herbivore,0,-10,0.593015204105652,5,4,80
200,hypothetical species 1,TRUE,Artiodactyla,Herbivore,0,-10,0.534616253974418,NA,NA,NA
250,hypothetical species 1,TRUE,Artiodactyla,Herbivore,0,-10,0.466814370818204,1,0,0
0,hypothetical species 2,TRUE,Primates,Frugivore,0,10,0.582310733885537,1,0,0
50,hypothetical species 2,TRUE,Primates,Frugivore,0,10,0.548189998977401,2,1,50
100,hypothetical species 2,TRUE,Primates,Frugivore,0,10,0.57461567304087,3,1,33.3
150,hypothetical species 2,TRUE,Primates,Frugivore,0,10,0.601987251593551,1,1,100
200,hypothetical species 2,TRUE,Primates,Frugivore,0,10,0.614979377577803,1,0,0
250,hypothetical species 2,TRUE,Primates,Frugivore,0,10,0.620884889388826,1,1,100
0,hypothetical species 3,TRUE,Carnivora,Animalivore,60,0,0.541344831896013,NA,NA,NA
50,hypothetical species 3,TRUE,Carnivora,Animalivore,60,0,0.525465566804149,NA,NA,NA
100,hypothetical species 3,TRUE,Carnivora,Animalivore,60,0,0.538654543182102,NA,NA,NA
150,hypothetical species 3,TRUE,Carnivora,Animalivore,60,0,0.568125859267592,NA,NA,NA
200,hypothetical species 3,TRUE,Carnivora,Animalivore,60,0,0.552115360579927,NA,NA,NA
250,hypothetical species 3,TRUE,Carnivora,Animalivore,60,0,0.53767966504187,NA,NA,NA
0,hypothetical species 1,FALSE,Artiodactyla,Herbivore,0,-10,0.884617207604152,33,25,75.8
50,hypothetical species 1,FALSE,Artiodactyla,Herbivore,0,-10,0.862496877725601,17,12,70.6
100,hypothetical species 1,FALSE,Artiodactyla,Herbivore,0,-10,0.876718278641145,18,16,88.9
150,hypothetical species 1,FALSE,Artiodactyla,Herbivore,0,-10,0.860961264601838,5,3,60
200,hypothetical species 1,FALSE,Artiodactyla,Herbivore,0,-10,0.811470247031666,10,8,80
250,hypothetical species 1,FALSE,Artiodactyla,Herbivore,0,-10,0.773460382702573,10,7,70
0,hypothetical species 2,FALSE,Primates,Frugivore,0,10,0.965690295798045,10,10,100
50,hypothetical species 2,FALSE,Primates,Frugivore,0,10,0.965690295798045,14,13,92.9
100,hypothetical species 2,FALSE,Primates,Frugivore,0,10,0.949154862727179,4,4,100
150,hypothetical species 2,FALSE,Primates,Frugivore,0,10,0.920889165170143,5,4,80
200,hypothetical species 2,FALSE,Primates,Frugivore,0,10,0.924826173044159,4,4,100
250,hypothetical species 2,FALSE,Primates,Frugivore,0,10,0.909078141548096,4,4,100
0,hypothetical species 3,FALSE,Carnivora,Animalivore,60,0,0.992650918635171,13,13,100
50,hypothetical species 3,FALSE,Carnivora,Animalivore,60,0,0.992650918635171,9,9,100
100,hypothetical species 3,FALSE,Carnivora,Animalivore,60,0,0.992650918635171,5,5,100
150,hypothetical species 3,FALSE,Carnivora,Animalivore,60,0,0.992650918635171,2,2,100
200,hypothetical species 3,FALSE,Carnivora,Animalivore,60,0,0.991863517060367,7,7,100
250,hypothetical species 3,FALSE,Carnivora,Animalivore,60,0,0.993438320209974,1,1,100
